,IPO_DATE,DELIST_DATE
000001.SZ,1991-04-03,1899-12-30
000002.SZ,1991-01-29,1899-12-30
000004.SZ,1991-01-14,1899-12-30
000005.SZ,1990-12-10,1899-12-30
000006.SZ,1992-04-27,1899-12-30
000007.SZ,1992-04-13,1899-12-30
000008.SZ,1992-05-07,1899-12-30
000009.SZ,1991-06-25,1899-12-30
000010.SZ,1995-10-27,1899-12-30
000011.SZ,1992-03-30,1899-12-30
000012.SZ,1992-02-28,1899-12-30
000014.SZ,1992-06-02,1899-12-30
000016.SZ,1992-03-27,1899-12-30
000017.SZ,1992-03-31,1899-12-30
000018.SZ,1992-06-16,2020-01-07
000019.SZ,1992-10-12,1899-12-30
000020.SZ,1992-04-28,1899-12-30
000021.SZ,1994-02-02,1899-12-30
000023.SZ,1993-04-29,1899-12-30
000025.SZ,1993-06-21,1899-12-30
000026.SZ,1993-06-03,1899-12-30
000027.SZ,1993-09-03,1899-12-30
000028.SZ,1993-08-09,1899-12-30
000029.SZ,1993-09-15,1899-12-30
000030.SZ,1993-09-29,1899-12-30
000031.SZ,1993-10-08,1899-12-30
000032.SZ,1993-10-28,1899-12-30
000033.SZ,1994-01-03,2017-07-07
000034.SZ,1994-05-09,1899-12-30
000035.SZ,1994-04-08,1899-12-30
000036.SZ,1994-06-17,1899-12-30
000037.SZ,1994-07-01,1899-12-30
000038.SZ,1994-08-08,1899-12-30
000039.SZ,1994-04-08,1899-12-30
000040.SZ,1994-08-08,1899-12-30
000042.SZ,1994-09-21,1899-12-30
000045.SZ,1994-08-15,1899-12-30
000046.SZ,1994-09-12,1899-12-30
000048.SZ,1994-11-01,1899-12-30
000049.SZ,1995-03-20,1899-12-30
000050.SZ,1995-03-15,1899-12-30
000055.SZ,1996-04-15,1899-12-30
000056.SZ,1996-07-08,1899-12-30
000058.SZ,1996-12-26,1899-12-30
000059.SZ,1997-01-30,1899-12-30
000060.SZ,1997-01-23,1899-12-30
000061.SZ,1997-01-10,1899-12-30
000062.SZ,1997-01-30,1899-12-30
000063.SZ,1997-11-18,1899-12-30
000065.SZ,1998-06-05,1899-12-30
000066.SZ,1997-06-26,1899-12-30
000068.SZ,1997-06-11,1899-12-30
000069.SZ,1997-09-10,1899-12-30
000070.SZ,2000-05-11,1899-12-30
000078.SZ,1998-12-18,1899-12-30
000088.SZ,1997-07-28,1899-12-30
000089.SZ,1998-04-20,1899-12-30
000090.SZ,1999-07-21,1899-12-30
000096.SZ,2000-07-24,1899-12-30
000099.SZ,2000-07-31,1899-12-30
000100.SZ,2004-01-30,1899-12-30
000150.SZ,2000-08-07,1899-12-30
000151.SZ,2000-09-06,1899-12-30
000153.SZ,2000-09-20,1899-12-30
000155.SZ,2000-09-26,1899-12-30
000156.SZ,2000-09-06,1899-12-30
000157.SZ,2000-10-12,1899-12-30
000158.SZ,2000-07-24,1899-12-30
000159.SZ,2000-09-26,1899-12-30
000166.SZ,2015-01-26,1899-12-30
000301.SZ,2000-05-29,1899-12-30
000333.SZ,2013-09-18,1899-12-30
000338.SZ,2007-04-30,1899-12-30
000400.SZ,1997-04-18,1899-12-30
000401.SZ,1996-06-14,1899-12-30
000402.SZ,1996-06-26,1899-12-30
000403.SZ,1996-06-28,1899-12-30
000404.SZ,1996-06-19,1899-12-30
000407.SZ,1996-07-03,1899-12-30
000408.SZ,1996-06-28,1899-12-30
000409.SZ,1996-06-27,1899-12-30
000410.SZ,1996-07-18,1899-12-30
000411.SZ,1996-07-16,1899-12-30
000413.SZ,1996-09-25,1899-12-30
000415.SZ,1996-07-16,1899-12-30
000416.SZ,1996-07-19,1899-12-30
000417.SZ,1996-08-12,1899-12-30
000418.SZ,1997-03-28,2019-06-21
000419.SZ,1996-08-16,1899-12-30
000420.SZ,1996-08-02,1899-12-30
000421.SZ,1996-08-06,1899-12-30
000422.SZ,1996-08-15,1899-12-30
000423.SZ,1996-07-29,1899-12-30
000425.SZ,1996-08-28,1899-12-30
000426.SZ,1996-08-28,1899-12-30
000428.SZ,1996-08-08,1899-12-30
000429.SZ,1998-02-20,1899-12-30
000430.SZ,1996-08-29,1899-12-30
000488.SZ,2000-11-20,1899-12-30
000498.SZ,1997-06-09,1899-12-30
000501.SZ,1992-11-20,1899-12-30
000502.SZ,1992-11-23,1899-12-30
000503.SZ,1992-11-30,1899-12-30
000504.SZ,1992-12-08,1899-12-30
000505.SZ,1992-12-21,1899-12-30
000506.SZ,1993-03-12,1899-12-30
000507.SZ,1993-03-26,1899-12-30
000509.SZ,1993-05-07,1899-12-30
000510.SZ,1993-05-07,1899-12-30
000511.SZ,1993-05-18,2018-07-18
000513.SZ,1993-10-28,1899-12-30
000514.SZ,1993-07-12,1899-12-30
000516.SZ,1993-08-09,1899-12-30
000517.SZ,1993-08-06,1899-12-30
000518.SZ,1993-09-08,1899-12-30
000519.SZ,1993-10-08,1899-12-30
000520.SZ,1993-10-25,1899-12-30
000521.SZ,1993-10-18,1899-12-30
000523.SZ,1993-11-08,1899-12-30
000524.SZ,1993-11-18,1899-12-30
000525.SZ,1993-10-28,1899-12-30
000526.SZ,1993-11-01,1899-12-30
000528.SZ,1993-11-18,1899-12-30
000529.SZ,1993-11-18,1899-12-30
000530.SZ,1993-12-08,1899-12-30
000531.SZ,1994-01-06,1899-12-30
000532.SZ,1994-01-03,1899-12-30
000533.SZ,1994-01-03,1899-12-30
000534.SZ,1994-01-10,1899-12-30
000536.SZ,1993-11-26,1899-12-30
000537.SZ,1993-12-10,1899-12-30
000538.SZ,1993-12-15,1899-12-30
000539.SZ,1993-11-26,1899-12-30
000540.SZ,1994-02-02,1899-12-30
000541.SZ,1993-11-23,1899-12-30
000543.SZ,1993-12-20,1899-12-30
000544.SZ,1993-12-08,1899-12-30
000545.SZ,1993-12-15,1899-12-30
000546.SZ,1993-12-15,1899-12-30
000547.SZ,1993-11-30,1899-12-30
000548.SZ,1993-12-20,1899-12-30
000550.SZ,1993-12-01,1899-12-30
000551.SZ,1994-01-06,1899-12-30
000552.SZ,1994-01-06,1899-12-30
000553.SZ,1993-12-03,1899-12-30
000554.SZ,1993-12-15,1899-12-30
000555.SZ,1994-04-08,1899-12-30
000557.SZ,1994-06-17,1899-12-30
000558.SZ,1994-05-09,1899-12-30
000559.SZ,1994-01-10,1899-12-30
000560.SZ,1994-02-02,1899-12-30
000561.SZ,1994-05-09,1899-12-30
000563.SZ,1994-01-10,1899-12-30
000564.SZ,1994-01-10,1899-12-30
000565.SZ,1994-04-08,1899-12-30
000566.SZ,1994-05-25,1899-12-30
000567.SZ,1994-05-25,1899-12-30
000568.SZ,1994-05-09,1899-12-30
000570.SZ,1994-07-01,1899-12-30
000571.SZ,1994-05-25,1899-12-30
000572.SZ,1994-08-08,1899-12-30
000573.SZ,1994-08-15,1899-12-30
000576.SZ,1994-09-07,1899-12-30
000581.SZ,1998-09-24,1899-12-30
000582.SZ,1995-11-02,1899-12-30
000584.SZ,1995-11-28,1899-12-30
000585.SZ,1995-12-13,1899-12-30
000586.SZ,1995-12-20,1899-12-30
000587.SZ,1996-04-25,1899-12-30
000589.SZ,1996-03-08,1899-12-30
000590.SZ,1996-01-19,1899-12-30
000591.SZ,1996-02-08,1899-12-30
000592.SZ,1996-03-27,1899-12-30
000593.SZ,1996-03-12,1899-12-30
000595.SZ,1996-04-19,1899-12-30
000596.SZ,1996-09-27,1899-12-30
000597.SZ,1996-05-23,1899-12-30
000598.SZ,1996-05-29,1899-12-30
000599.SZ,1996-04-30,1899-12-30
000600.SZ,1996-06-06,1899-12-30
000601.SZ,1996-08-30,1899-12-30
000603.SZ,1996-08-23,1899-12-30
000605.SZ,1996-09-13,1899-12-30
000606.SZ,1996-10-04,1899-12-30
000607.SZ,1996-08-30,1899-12-30
000608.SZ,1996-09-19,1899-12-30
000609.SZ,1996-10-10,1899-12-30
000610.SZ,1996-09-26,1899-12-30
000611.SZ,1996-10-08,1899-12-30
000612.SZ,1996-09-26,1899-12-30
000613.SZ,1997-01-28,1899-12-30
000615.SZ,1996-10-16,1899-12-30
000616.SZ,1996-11-08,1899-12-30
000617.SZ,1996-10-22,1899-12-30
000619.SZ,1996-10-23,1899-12-30
000620.SZ,1996-10-29,1899-12-30
000622.SZ,1996-11-07,1899-12-30
000623.SZ,1996-10-28,1899-12-30
